Cuntrycd,Stkcd,Stknme,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,Listdt,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
10,600376,首开股份,北京首都开发股份有限公司,"BEIJING CAPITAL DEVELOPMENT CO., LTD.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1993/12/29,2001/3/12,2001/3/12,CNY,9.4,10.4,CNY,40000,CNY,2001/1/15,1,1,A,,2017/4/27,,1
10,600377,宁沪高速,江苏宁沪高速公路股份有限公司,"Jiangsu Expressway Co., Ltd.",2,公用事业,F03,公路运输业,G54,道路运输业,1992/8/1,2001/1/16,2001/1/16,CNY,3.2,4.2,CNY,150000,CNY,2000/12/22,1,1,A,,2017/4/27,177,1
10,600378,天科股份,四川天一科技股份有限公司,"Sichuan Tianyi Science and Technology Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1999/8/5,2001/1/11,2001/1/11,CNY,5.58,6.58,CNY,45000,CNY,2000/12/25,1,1,N,,2017/9/15,,1
10,600379,宝光股份,陕西宝光真空电器股份有限公司,"SHAANXI BAOGUANG VACUUM ELECTRONIC APPARATUS CO., LTD.",5,工业,C76,电器机械及器材制造业,C38,电气机械及器材制造业,1997/12/31,2002/1/16,2002/1/16,CNY,1.76,2.76,CNY,50000,CNY,2001/12/24,1,1,A,,2017/4/27,,1
10,600380,健康元,健康元药业集团股份有限公司,"Joincare Pharmaceutical Group Industry Co., Ltd.",5,工业,C81,医药制造业,C27,医药制造业,1999/11/24,2001/6/8,2001/6/8,CNY,23.8,24.8,CNY,70000,CNY,2001/5/9,1,1,A,,2017/5/12,,1
10,600381,青海春天,青海春天药用资源科技股份有限公司,"QINGHAI SPRING MEDICINAL RESOURCES TECHNOLOGY CO.,LTD",5,工业,C03,食品制造业,C14,食品制造业,1998/8/28,2001/5/8,2001/5/8,CNY,4.68,5.68,CNY,35000,CNY,2001/4/17,1,1,A,,2017/4/27,,1
10,600382,广东明珠,广东明珠集团股份有限公司,"Guangdong Mingzhu Group Co., Ltd.",6,商业,H03,能源、材料和机械电子设备批发业,F51,批发业,1994/4/21,2001/1/18,2001/1/18,CNY,4.5,5.5,CNY,60000,CNY,2001/1/4,1,1,A,,2017/4/27,,1
10,600383,金地集团,金地(集团)股份有限公司,Gemdale Corporation.,3,房地产,J01,房地产开发与经营业,K70,房地产业,1996/2/8,2001/4/12,2001/4/12,CNY,8.42,9.42,CNY,90000,CNY,2001/1/15,1,1,A,,2017/4/27,,1
10,600385,山东金泰,山东金泰集团股份有限公司,"Shandong Jintai Group Co., Ltd.",5,工业,C81,医药制造业,C27,医药制造业,1992/6/3,2001/7/23,2001/7/23,CNY,1.6,2.6,CNY,33918,CNY,1992/4/16,1,1,A,,2017/4/27,,1
10,600386,北巴传媒,北京巴士传媒股份有限公司,"Beijing Bashi Media Co., Ltd.",6,商业,H11,零售业,F52,零售业,1999/6/18,2001/2/16,2001/2/16,CNY,8.92,9.92,CNY,80000,CNY,2001/1/4,1,1,A,,2017/4/27,,1
10,600387,海越股份,浙江海越股份有限公司,"Zhejiang Haiyue Co., Ltd.",6,商业,H03,能源、材料和机械电子设备批发业,F51,批发业,1993/7/26,2004/2/18,2004/2/18,CNY,4.2,5.2,CNY,60000,CNY,2004/2/2,1,1,A,,2017/9/20,,1
10,600388,龙净环保,福建龙净环保股份有限公司,"Fujian Longking Co., Ltd.",5,工业,C73,专用设备制造业,C35,专用设备制造业,1998/2/23,2000/12/29,2000/12/29,CNY,6.2,7.2,CNY,65000,CNY,2000/12/14,1,1,A,,2017/4/27,,1
10,600389,江山股份,南通江山农药化工股份有限公司,"Nantong Jiangshan Agrochemical and Chemicals Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1998/1/21,2001/1/10,2001/1/10,CNY,6,7,CNY,40000,CNY,2000/12/26,1,1,N,,2017/8/1,,1
10,600390,五矿资本,五矿资本股份有限公司,Minmetals Capital Company Limited,1,金融,I21,证券、期货业,J67,资本市场服务,1999/8/31,2001/1/15,2001/1/15,CNY,13.99,14.99,CNY,40000,CNY,2000/12/20,1,1,A,,2017/9/27,,1
10,600391,航发科技,中国航发航空科技股份有限公司,"AECC AERO SCIENCE AND TECHNOLOGY CO.,LTD.",5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,1999/12/28,2001/12/12,2001/12/12,CNY,4.17,5.17,CNY,50000,CNY,2001/11/29,1,1,A,,2017/4/27,,1
10,600392,盛和资源,盛和资源控股股份有限公司,Shenghe Resources Holding Co.Ltd.,5,工业,C67,有色金属冶炼及压延加工业,C32,有色金属冶炼及压延加工业,2000/7/5,2003/5/29,2003/5/29,CNY,8.73,9.73,CNY,23700,CNY,2003/5/14,1,1,A,,2017/4/27,,1
