,Stkcd,Trddt,SpecificVar
12766,965,2016-09-01,0.005185517418259355
12767,965,2016-10-01,0.00479261455301783
12768,965,2016-11-01,0.004198751130112721
12769,965,2016-12-01,0.003897384661461017
12781,966,2016-01-01,0.004721584793731317
12782,966,2016-02-01,0.005238749327575672
12783,966,2016-03-01,0.00488084747599046
12784,966,2016-04-01,0.005511719377835691
12785,966,2016-05-01,0.003372943946497653
12786,966,2016-06-01,0.0030963078182099577
12787,966,2016-07-01,0.0026891355394922916
12788,966,2016-08-01,0.0029251622069678754
12789,966,2016-09-01,0.002804197305821786
12790,966,2016-10-01,0.0023211834476833536
12791,966,2016-11-01,0.002237060618206983
12792,966,2016-12-01,0.0021510213020911593
12804,967,2014-03-01,0.004599501529876544
12805,967,2014-04-01,0.004333419420388737
12806,967,2014-05-01,0.0037850938185496536
12807,967,2014-06-01,0.002237506682247058
12808,967,2014-07-01,0.002737374431169649
12809,967,2014-08-01,0.00231887588652392
12810,967,2014-09-01,0.0018929228782673102
12811,967,2015-04-01,0.022885696325389462
12812,967,2015-05-01,0.028803914919004095
12813,967,2015-06-01,0.027757270545276613
12814,967,2015-07-01,0.027277290161508986
12815,967,2015-08-01,0.025986892900273968
12816,967,2015-09-01,0.02508188501223386
12817,967,2015-10-01,0.02448600442187231
12818,967,2015-11-01,0.02461849634990446
12819,967,2015-12-01,0.02341351533624755
12820,967,2016-01-01,0.023674763722949365
12821,967,2016-02-01,0.022950839189304215
12822,967,2016-03-01,0.02251146547373709
12823,967,2016-04-01,0.00804487343554339
12824,967,2016-05-01,0.004526517980113263
12825,967,2016-06-01,0.004307797441938445
12826,967,2016-07-01,0.004827552642592768
12827,967,2016-08-01,0.004742520262276767
12828,967,2016-09-01,0.005196226732728844
12829,967,2016-10-01,0.004730638786646987
12830,967,2016-11-01,0.004958981847151261
12831,967,2016-12-01,0.0047636663819821705
12843,968,2014-03-01,0.011608525094119205
12844,968,2014-04-01,0.009757676511300615
